Age,Gender,Academic_Level,Primary_Platform,Daily_Usage_Hours,Weekend_Extra_Hours,Device_Type,Sleep_Duration_Hours,Sleep_Quality_Score,Late_Night_Usage,Social_Comparison_Frequency,Perceived_Stress_Score,Mental_Health_Index,Academic_Performance_GPA,Overall_Impact,Daily_Usage_Hours_BoxCox,Sleep_Duration_Hours_BoxCox,Sleep_Quality_Score_BoxCox,Mental_Health_Index_BoxCox,Academic_Performance_GPA_BoxCox,Perceived_Stress_Score_Log1p,Weekend_Extra_Hours_Log1p
19,0,2,3,7.5,1.5,1,5.9,2,1,4,20.0,73,2.73,1,2.1286702202484076,10.056584152579083,0.8778301681657564,41009.67586813584,6.353094218431751,3.044522437723423,0.9162907318741551
19,0,2,0,4.6,1.3,1,7.9,3,1,2,17.0,90,3.21,2,1.5907355499331142,16.409652657927705,1.6102145113046793,72290.34860143652,10.501510504182985,2.8903717578961645,0.832909122935104
17,0,0,4,10.9,1.7,1,5.2,1,1,3,18.0,70,3.0,1,2.5497670831418175,8.103473238889842,0.0,36604.68597434723,8.52310068647062,2.9444389791664403,0.9932517730102833
16,0,0,6,6.0,2.3,2,7.6,4,1,2,15.0,82,3.42,2,1.8813563150191603,15.387190975810833,2.261698926363226,56183.26023893996,12.753425783763895,2.772588722239781,1.1939224684724346
17,1,0,1,3.3,2.6,1,7.6,4,1,0,16.0,84,3.41,2,1.2332726085820729,15.387190975810833,2.261698926363226,59971.57105866405,12.639731281317893,2.833213344056216,1.2809338454620642
16,1,0,4,6.2,1.6,1,5.9,1,0,1,10.0,66,3.21,2,1.9175112322134875,10.056584152579083,0.0,31213.358948090136,10.501510504182985,2.3978952727983707,0.9555114450274363
20,1,2,4,5.6,1.8,1,8.3,3,0,2,10.0,88,3.72,2,1.8054918230589363,17.809462547767687,1.6102145113046793,68022.48375280312,16.479606987119947,2.3978952727983707,1.0296194171811581
19,0,2,4,1.2,2.4,1,8.1,5,0,4,6.0,95,3.37,2,0.1832225230267353,17.104383037428352,2.858956583624191,83687.91518516612,12.19151453362671,1.9459101490553132,1.2237754316221157
18,0,2,6,3.3,1.8,1,6.4,2,0,3,23.0,88,3.59,2,1.2332726085820729,11.540249794535706,0.8778301681657564,68022.48375280312,14.788739421516853,3.1780538303479458,1.0296194171811581
18,0,2,2,4.7,1.7,1,7.9,2,0,3,6.0,96,3.66,2,1.6141037337096489,16.409652657927705,0.8778301681657564,86094.79021322812,15.684410084705304,1.9459101490553132,0.9932517730102833
15,0,0,4,4.4,1.9,1,5.8,2,0,3,11.0,83,3.22,2,1.5425211917840917,9.76858741311186,0.8778301681657564,58057.92927986961,10.602403875992923,2.4849066497880004,1.0647107369924282
20,1,2,1,7.8,1.4,1,7.2,2,1,2,17.0,76,3.08,2,2.172448159416712,14.061136801601103,0.8778301681657564,45734.94462371378,9.245645848802152,2.8903717578961645,0.8754687373538999
19,0,2,4,9.5,0.9,1,5.3,1,1,4,27.0,68,3.14,1,2.3939369739111944,8.3733992567368,0.0,33841.334443280015,9.81251648426725,3.332204510175204,0.6418538861723948
23,2,2,0,1.9,1.2,1,8.9,5,0,2,3.0,95,3.86,2,0.6531132144998397,19.985804516313625,2.858956583624191,83687.91518516612,18.436086604872493,1.3862943611198906,0.7884573603642702
19,1,2,6,6.6,2.3,2,5.7,3,0,2,17.0,64,2.98,1,1.9866255656836118,9.483548899985696,1.6102145113046793,28717.928887801263,8.348306654858234,2.8903717578961645,1.1939224684724346
19,0,2,0,2.6,1.2,1,7.3,4,0,1,11.0,85,3.57,2,0.9806061985963926,14.388618785157242,2.261698926363226,61924.51734422166,14.5390899446019,2.4849066497880004,0.7884573603642702
18,1,2,5,2.3,1.8,2,6.4,2,1,2,17.0,84,3.64,2,0.8519347810161471,11.540249794535706,0.8778301681657564,59971.57105866405,15.425006368156271,2.8903717578961645,1.0296194171811581
17,1,0,6,7.2,1.7,1,6.4,2,0,3,12.0,75,3.52,2,2.0832033609937755,11.540249794535706,0.8778301681657564,44123.69453376821,13.926977359533225,2.5649493574615367,0.9932517730102833
19,0,2,0,4.7,1.5,1,6.5,3,0,4,8.0,88,3.47,2,1.6141037337096489,11.845587262709715,1.6102145113046793,68022.48375280312,13.331834670752924,2.1972245773362196,0.9162907318741551
20,0,2,2,4.7,2.3,1,6.9,2,0,2,20.0,82,3.7,2,1.6141037337096489,13.095026718981076,0.8778301681657564,56183.26023893996,16.211695300270975,3.044522437723423,1.1939224684724346
17,1,0,0,3.5,1.1,1,7.9,3,0,3,2.0,94,3.75,2,1.2961337421106984,16.409652657927705,1.6102145113046793,81323.92171042044,16.88685331132323,1.0986122886681098,0.7419373447293773
16,0,0,0,2.4,2.5,1,7.4,3,1,4,1.0,98,4.0,2,0.8965046417701628,14.718798218821261,1.6102145113046793,91038.45997193112,20.53818254914221,0.6931471805599453,1.252762968495368
23,1,1,6,7.4,1.3,0,6.3,2,1,2,10.0,68,2.82,2,2.113708815832555,11.237755995802775,0.8778301681657564,33841.334443280015,7.031717803560084,2.3978952727983707,0.832909122935104
17,0,0,0,11.2,1.7,1,5.2,2,1,2,22.0,54,2.69,1,2.5806811705994916,8.103473238889842,0.8778301681657564,18128.066722063846,6.065325961111475,3.1354942159291497,0.9932517730102833
18,0,2,6,3.4,1.7,1,8.2,4,0,3,8.0,90,4.0,2,1.2651404807900501,17.455635531354325,2.261698926363226,72290.34860143652,20.53818254914221,2.1972245773362196,0.9932517730102833
20,0,2,0,3.0,2.0,1,8.8,4,0,2,2.0,94,3.5,2,1.1318728617817535,19.61678552928072,2.261698926363226,81323.92171042044,13.686897116192466,1.0986122886681098,1.0986122886681098
20,0,2,0,4.3,1.4,1,8.1,3,0,3,2.0,95,3.37,2,1.5176311317383155,17.104383037428352,1.6102145113046793,83687.91518516612,12.19151453362671,1.0986122886681098,0.8754687373538999
19,1,2,3,4.7,2.4,0,8.4,3,1,3,5.0,93,3.81,2,1.6141037337096489,18.16585159714471,1.6102145113046793,79002.48980321265,17.720896337416892,1.791759469228055,1.2237754316221157
18,0,2,0,3.6,1.8,1,7.5,3,0,1,12.0,94,3.35,2,1.3263003819268158,15.05166041856306,1.6102145113046793,81323.92171042044,11.971316457356032,2.5649493574615367,1.0296194171811581
18,1,2,6,3.8,1.4,1,7.1,2,1,1,14.0,91,3.52,2,1.384326776898207,13.736367236790857,0.8778301681657564,74486.02575307926,13.926977359533225,2.70805020110221,0.8754687373538999
18,1,2,6,3.6,2.9,1,6.7,3,1,1,4.0,89,3.76,2,1.3263003819268158,12.464723049102489,1.6102145113046793,70135.94297111471,17.024043975850308,1.6094379124341003,1.3609765531356006
20,1,2,5,8.3,1.8,1,5.6,1,1,1,22.0,64,3.35,1,2.2419894696219833,9.201489326998276,0.0,28717.928887801263,11.971316457356032,3.1354942159291497,1.0296194171811581
17,0,0,2,3.4,0.7,1,6.6,2,1,1,4.0,92,3.83,2,1.2651404807900501,12.15375076672696,0.8778301681657564,76723.29848149381,18.00475869836222,1.6094379124341003,0.5306282510621704
18,0,2,6,1.1,1.4,1,7.3,3,0,1,4.0,95,3.73,2,0.09555600683054044,14.388618785157242,1.6102145113046793,83687.91518516612,16.614636703065745,1.6094379124341003,0.8754687373538999
21,0,2,1,4.7,1.1,1,6.8,3,0,2,13.0,84,3.41,2,1.6141037337096489,12.778487214922173,1.6102145113046793,59971.57105866405,12.639731281317893,2.6390573296152584,0.7419373447293773
18,1,2,6,4.8,1.4,1,6.4,2,0,1,12.0,75,3.69,2,1.6370062359244075,11.540249794535706,0.8778301681657564,44123.69453376821,16.07880955652339,2.5649493574615367,0.8754687373538999
20,1,2,6,2.0,1.5,1,7.5,5,0,2,9.0,92,4.0,2,0.7062901854968463,15.05166041856306,2.858956583624191,76723.29848149381,20.53818254914221,2.302585092994046,0.9162907318741551
20,1,2,4,7.1,1.4,1,6.2,2,1,1,17.0,65,3.39,2,2.0676487677416864,10.938123890491681,0.8778301681657564,29949.25362327995,12.41431443477717,2.8903717578961645,0.8754687373538999
18,0,2,4,8.0,1.5,1,5.5,1,1,2,21.0,66,2.59,1,2.2007570648755084,8.92242992355568,0.0,31213.358948090136,5.382153841105391,3.091042453358316,0.9162907318741551
17,1,0,4,3.3,1.7,0,6.0,1,0,3,15.0,87,3.46,2,1.2332726085820729,10.347518899102251,0.0,65949.64476800284,13.21482174546893,2.772588722239781,0.9932517730102833
18,1,2,4,5.8,0.8,0,5.7,2,1,1,14.0,79,3.34,2,1.8440428632175376,9.483548899985696,0.8778301681657564,50789.75419132553,11.862188377883385,2.70805020110221,0.5877866649021191
16,0,0,4,4.3,1.0,1,6.8,4,0,2,17.0,81,3.62,2,1.5176311317383155,12.778487214922173,2.261698926363226,54347.230996866165,15.168408451034988,2.8903717578961645,0.6931471805599453
19,1,2,6,3.9,1.4,1,6.9,2,0,3,7.0,90,3.44,2,1.4122647058505842,13.095026718981076,0.8778301681657564,72290.34860143652,12.982796395310663,2.0794415416798357,0.8754687373538999
20,1,2,0,8.3,2.2,1,6.3,1,1,2,13.0,76,3.21,2,2.2419894696219833,11.237755995802775,0.0,45734.94462371378,10.501510504182985,2.6390573296152584,1.1631508098056809
21,0,2,0,7.6,1.6,1,5.9,1,1,1,25.0,70,3.46,1,2.1434440944290047,10.056584152579083,0.0,36604.68597434723,13.21482174546893,3.258096538021482,0.9555114450274363
17,1,0,4,4.3,2.7,1,5.4,2,0,2,17.0,80,3.45,2,1.5176311317383155,8.646392457066119,0.8778301681657564,52549.50742605369,13.098476283389891,2.8903717578961645,1.308332819650179
19,0,2,6,4.0,1.7,1,6.5,2,1,4,13.0,78,3.28,2,1.4395330280586147,11.845587262709715,0.8778301681657564,49067.63473037756,11.220894215246592,2.6390573296152584,0.9932517730102833
21,1,2,2,3.5,2.6,1,6.6,3,1,4,10.0,94,4.0,2,1.2961337421106984,12.15375076672696,1.6102145113046793,81323.92171042044,20.53818254914221,2.3978952727983707,1.2809338454620642
17,0,0,0,4.1,1.6,1,5.8,2,1,3,8.0,86,3.11,2,1.466163943905982,9.76858741311186,0.8778301681657564,63917.09875329975,9.52637544624165,2.1972245773362196,0.9555114450274363
21,0,2,4,5.9,2.9,1,6.5,2,0,2,10.0,69,2.89,2,1.8628491617376208,11.845587262709715,0.8778301681657564,35205.91224901557,7.590058642795928,2.3978952727983707,1.3609765531356006
15,0,0,4,8.6,1.0,1,6.4,1,1,1,11.0,66,3.38,2,2.2818354611447473,11.540249794535706,0.0,31213.358948090136,12.302588311016644,2.4849066497880004,0.6931471805599453
19,3,0,5,2.9,1.6,1,6.7,2,1,4,7.0,95,3.57,2,1.095930983777979,12.464723049102489,0.8778301681657564,83687.91518516612,14.5390899446019,2.0794415416798357,0.9555114450274363
19,0,2,6,5.9,1.4,1,6.2,2,1,2,14.0,64,3.05,2,1.8628491617376208,10.938123890491681,0.8778301681657564,28717.928887801263,8.970276567071865,2.70805020110221,0.8754687373538999
22,1,1,6,4.9,2.6,0,7.8,3,0,2,9.0,76,3.9,2,1.659461753676766,16.066200853784746,1.6102145113046793,45734.94462371378,19.021600464068523,2.302585092994046,1.2809338454620642
17,0,0,0,3.9,1.0,1,7.2,4,0,4,20.0,81,3.56,2,1.4122647058505842,14.061136801601103,2.261698926363226,54347.230996866165,14.415298505689877,3.044522437723423,0.6931471805599453
16,0,0,1,6.9,1.8,1,6.7,1,1,3,16.0,78,3.42,2,2.0359078246346916,12.464723049102489,0.0,49067.63473037756,12.753425783763895,2.833213344056216,1.0296194171811581
21,0,2,4,4.0,1.0,1,6.6,2,0,2,15.0,79,3.39,2,1.4395330280586147,12.15375076672696,0.8778301681657564,50789.75419132553,12.41431443477717,2.772588722239781,0.6931471805599453
21,0,2,4,3.8,2.4,1,6.7,3,0,2,11.0,92,3.48,2,1.384326776898207,12.464723049102489,1.6102145113046793,76723.29848149381,13.449516948333956,2.4849066497880004,1.2237754316221157
17,1,0,3,2.7,2.0,1,8.7,4,1,4,8.0,98,3.59,2,1.0203866362587886,19.250269148910856,2.261698926363226,91038.45997193112,14.788739421516853,2.1972245773362196,1.0986122886681098
26,0,2,0,3.1,2.4,1,8.4,4,1,2,5.0,90,4.0,2,1.1666987907776478,18.16585159714471,2.261698926363226,72290.34860143652,20.53818254914221,1.791759469228055,1.2237754316221157
18,1,2,4,4.1,2.2,0,6.4,1,0,4,9.0,86,3.95,2,1.466163943905982,11.540249794535706,0.0,63917.09875329975,19.770392735367714,2.302585092994046,1.1631508098056809
18,1,2,3,5.4,2.1,1,7.8,4,1,4,13.0,87,3.74,2,1.7656156766986153,16.066200853784746,2.261698926363226,65949.64476800284,16.750384849080206,2.6390573296152584,1.1314021114911006
21,1,2,2,8.0,2.3,1,5.7,2,1,2,18.0,68,3.19,2,2.2007570648755084,9.483548899985696,0.8778301681657564,33841.334443280015,10.301582463218029,2.9444389791664403,1.1939224684724346
21,0,2,6,7.6,4.5,1,6.7,2,1,2,17.0,73,3.34,2,2.1434440944290047,12.464723049102489,0.8778301681657564,41009.67586813584,11.862188377883385,2.8903717578961645,1.7047480922384253
19,1,2,3,2.8,2.5,1,6.6,2,1,4,10.0,71,3.41,2,1.0587970088869507,12.15375076672696,0.8778301681657564,38038.0056657807,12.639731281317893,2.3978952727983707,1.252762968495368
16,0,0,0,3.0,2.3,1,7.6,4,0,3,16.0,86,3.5,2,1.1318728617817535,15.387190975810833,2.261698926363226,63917.09875329975,13.686897116192466,2.833213344056216,1.1939224684724346
19,0,2,5,4.2,2.7,1,7.9,4,0,4,6.0,83,3.6,2,1.492187365993103,16.409652657927705,2.261698926363226,58057.92927986961,14.914601235151155,1.9459101490553132,1.308332819650179
19,0,2,4,2.5,1.9,1,6.9,3,1,3,8.0,83,3.79,2,0.9393512133898587,13.095026718981076,1.6102145113046793,58057.92927986961,17.43996804213093,2.1972245773362196,1.0647107369924282
20,0,2,6,4.6,2.1,1,5.2,2,1,3,17.0,69,3.71,2,1.5907355499331142,8.103473238889842,0.8778301681657564,35205.91224901557,16.345293814978213,2.8903717578961645,1.1314021114911006
18,1,2,6,4.1,1.1,1,7.5,2,1,2,6.0,88,3.66,2,1.466163943905982,15.05166041856306,0.8778301681657564,68022.48375280312,15.684410084705304,1.9459101490553132,0.7419373447293773
19,0,2,0,4.4,1.1,1,7.1,1,0,2,20.0,91,3.56,2,1.5425211917840917,13.736367236790857,0.0,74486.02575307926,14.415298505689877,3.044522437723423,0.7419373447293773
21,0,2,3,10.2,1.6,1,6.1,1,1,2,18.0,62,2.7,1,2.4743831724778294,10.641371908015127,0.0,26352.188477075142,6.136480825750305,2.9444389791664403,0.9555114450274363
18,0,2,0,3.0,1.8,1,7.4,4,0,4,5.0,74,3.6,2,1.1318728617817535,14.718798218821261,2.261698926363226,42548.719285856496,14.914601235151155,1.791759469228055,1.0296194171811581
19,1,2,3,6.9,3.4,1,6.0,2,1,2,23.0,79,3.2,2,2.0359078246346916,10.347518899102251,0.8778301681657564,50789.75419132553,10.401237330639699,3.1780538303479458,1.4816045409242156
18,1,2,1,4.0,1.6,1,7.1,3,0,2,8.0,80,3.0,2,1.4395330280586147,13.736367236790857,1.6102145113046793,52549.50742605369,8.52310068647062,2.1972245773362196,0.9555114450274363
19,0,2,2,8.3,0.9,1,7.2,1,1,2,15.0,72,3.53,2,2.2419894696219833,14.061136801601103,0.0,39506.21991155572,14.048034731048165,2.772588722239781,0.6418538861723948
17,0,0,6,6.1,2.4,1,6.0,2,1,1,11.0,70,3.48,2,1.8995739499976299,10.347518899102251,0.8778301681657564,36604.68597434723,13.449516948333956,2.4849066497880004,1.2237754316221157
19,1,2,0,4.8,0.8,1,7.8,4,0,4,14.0,84,3.39,2,1.6370062359244075,16.066200853784746,2.261698926363226,59971.57105866405,12.41431443477717,2.70805020110221,0.5877866649021191
21,1,2,6,3.6,1.3,1,7.2,2,1,2,15.0,87,3.67,2,1.3263003819268158,14.061136801601103,0.8778301681657564,65949.64476800284,15.81516883547986,2.772588722239781,0.832909122935104
20,3,2,3,6.2,2.2,1,6.8,2,1,1,13.0,82,3.41,2,1.9175112322134875,12.778487214922173,0.8778301681657564,56183.26023893996,12.639731281317893,2.6390573296152584,1.1631508098056809
18,0,2,4,8.5,1.8,1,5.5,1,1,2,24.0,67,2.79,1,2.268701594475235,8.92242992355568,0.0,32510.60102499727,6.80066146105074,3.2188758248682006,1.0296194171811581
18,0,2,4,4.5,3.1,1,8.0,3,0,4,10.0,91,3.69,2,1.5668817774441797,16.755717770784734,1.6102145113046793,74486.02575307926,16.07880955652339,2.3978952727983707,1.410986973710262
20,1,2,4,3.3,1.7,1,9.7,5,0,3,11.0,89,3.69,2,1.2332726085820729,23.026727920206024,2.858956583624191,70135.94297111471,16.07880955652339,2.4849066497880004,0.9932517730102833
17,0,0,3,7.6,2.9,1,6.4,2,0,2,24.0,70,3.33,1,2.1434440944290047,11.540249794535706,0.8778301681657564,36604.68597434723,11.7537050835968,3.2188758248682006,1.3609765531356006
19,0,2,5,3.2,2.2,1,6.1,3,1,2,16.0,75,3.38,2,1.2004777883442346,10.641371908015127,1.6102145113046793,44123.69453376821,12.302588311016644,2.833213344056216,1.1631508098056809
18,1,2,0,3.1,1.1,1,8.5,4,1,2,10.0,88,3.56,2,1.1666987907776478,18.524790399056656,2.261698926363226,68022.48375280312,14.415298505689877,2.3978952727983707,0.7419373447293773
